LOA,No_of_Teus,GRT,port_waiting_time,ops_preparation_time,total_port_time,start_minutes_of_day,arrival_hour,arrival_day,arrival_month,arrival_year,arrival_dayofweek,Berth_Code_encoded,size_category_encoded,teu_category_encoded,grt_category_encoded,season_encoded,teu_per_meter,grt_per_meter,grt_per_teu,total_prep_ratio,waiting_ratio,teu_density,volume_index,avg_prep_time_by_size,avg_waiting_time_by_size,is_night_arrival,is_weekend,completion_minutes
200,3108,102836,0.48,0.216,16.644000000000002,1070,17,1,1,2022,5,0,2,2,2,3,15.54,514.18,33.087516087516086,0.45,0.028839221341023787,0.00015111439573690146,3998.3922205145323,0.341793401319736,0.4713617276544691,0,1,932
189,3440,108480,0.384,0.20879999999999999,18.172,1085,17,1,1,2022,5,1,2,3,3,3,18.201058201058203,573.968253968254,31.53488372093023,0.54375,0.021131410961919436,0.00016778261616019727,4131.647938136482,0.341793401319736,0.4713617276544691,0,1,1032
221,2450,91650,0.432,0.2424,13.385200000000001,1239,20,1,1,2022,5,3,1,4,4,3,11.085972850678733,414.70588235294116,37.40816326530612,0.5611111111111111,0.03227445238024086,0.00012095987834892234,3674.770960782438,0.33098196027352655,0.46991077824812766,1,1,735
302,2678,95526,0.504,0.408,14.998000000000001,1277,20,1,1,2022,5,4,0,4,4,3,8.867549668874172,316.3112582781457,35.670649738610905,0.8095238095238094,0.033604480597412986,9.282865051267897e-05,4259.052917808065,0.33365267175572516,0.4695648854961832,1,1,803
319,3456,108752,0.432,0.48,18.983999999999998,1150,18,1,1,2022,5,5,0,3,3,3,10.83385579937304,340.9153605015674,31.46759259259259,1.1111111111111112,0.022756005056890013,9.961983043413492e-05,4930.987366174246,0.33365267175572516,0.4695648854961832,0,1,1036
380,4824,132008,0.312,0.4536,25.656000000000002,525,8,2,1,2022,6,6,3,3,3,3,12.694736842105263,347.38947368421054,27.364842454394694,1.4538461538461538,0.012160898035547239,9.616642053591649e-05,6231.563846449829,0.33921854583772393,0.46746469968387777,0,1,1447
357,2980,100660,0.624,0.38880000000000003,16.6448,370,5,2,1,2022,6,7,3,2,2,3,8.34733893557423,281.96078431372547,33.77852348993289,0.6230769230769231,0.037489185811785064,8.292607724591923e-05,4748.762707836522,0.33921854583772393,0.46746469968387777,0,1,894
281,3108,102836,0.432,0.2808,16.7976,583,9,2,1,2022,6,8,0,2,2,3,11.06049822064057,365.9644128113879,33.087516087516086,0.65,0.025717959708529792,0.00010755473006185158,4478.2757855206455,0.33365267175572516,0.4695648854961832,0,1,932
200,2892,99164,0.504,0.2928,15.768,647,10,2,1,2022,6,9,2,2,2,3,14.46,495.82,34.28907330567082,0.580952380952381,0.0319634703196347,0.00014581904723488361,3856.5068490040194,0.341793401319736,0.4713617276544691,0,1,867
210,2870,98790,0.576,0.4632,16.1428,840,13,2,1,2022,6,0,1,1,1,3,13.666666666666666,470.42857142857144,34.42160278745644,0.8041666666666667,0.03568154223554773,0.00013834058777879003,3904.8533266438894,0.33098196027352655,0.46991077824812766,0,1,861
194,4560,127520,0.48,0.216,23.904,648,10,2,1,2022,6,1,2,3,3,3,23.50515463917526,657.319587628866,27.964912280701753,0.45,0.020080321285140562,0.00018432524026956758,4831.866858895966,0.341793401319736,0.4713617276544691,0,1,1368
369,4308,123236,0.384,0.20879999999999999,22.512,754,12,2,1,2022,6,2,3,3,3,3,11.674796747967479,333.9728997289973,28.60631383472609,0.54375,0.017057569296375266,9.473527823012334e-05,5807.82093823339,0.33921854583772393,0.46746469968387777,0,1,1292
275,3240,105080,0.432,0.2424,17.3352,621,10,2,1,2022,6,3,1,0,0,3,11.781818181818181,382.1090909090909,32.4320987654321,0.5611111111111111,0.02492039318842586,0.00011212236564349241,4540.802254288669,0.33098196027352655,0.46991077824812766,0,1,972
348,2890,99130,0.504,0.408,16.058,756,12,2,1,2022,6,4,3,1,1,3,8.304597701149426,284.85632183908046,34.30103806228374,0.8095238095238094,0.03138622493461203,8.377481792746319e-05,4636.896451897275,0.33921854583772393,0.46746469968387777,0,1,867
284,3678,112526,0.432,0.48,20.093999999999998,868,13,2,1,2022,6,5,0,3,3,3,12.950704225352112,396.21830985915494,30.594344752582927,1.1111111111111112,0.021498954911914007,0.00011509077213579184,4898.475971295105,0.33365267175572516,0.4695648854961832,0,1,1103
119,3450,108650,0.312,0.4536,18.786,643,10,3,1,2022,0,6,4,3,3,3,28.991596638655462,913.0252100840336,31.492753623188406,1.4538461538461538,0.01660811242414564,0.0002668347596746936,3546.4888248720813,0.3408404580152672,0.4721145038167939,0,0,1035
180,3150,103550,0.624,0.38880000000000003,17.494799999999998,1387,22,2,1,2022,6,7,2,0,0,3,17.5,575.2777777777778,32.87301587301587,0.6230769230769231,0.035667741271692165,0.00016900048285852244,3886.6704701922667,0.341793401319736,0.4713617276544691,1,1,945
190,2836,98212,0.432,0.2808,15.4376,170,2,3,1,2022,0,8,2,1,1,3,14.926315789473684,516.9052631578948,34.63046544428773,0.65,0.027983624397574753,0.00015198057049519085,3754.4079503775984,0.341793401319736,0.4713617276544691,1,0,850
247,2980,100660,0.504,0.2928,16.208000000000002,172,2,3,1,2022,0,7,1,2,2,3,12.064777327935223,407.53036437246965,33.77852348993289,0.580952380952381,0.03109575518262586,0.00011985671893438529,4200.071797714432,0.33098196027352655,0.46991077824812766,1,0,894
179,3108,102836,0.576,0.4632,17.3328,387,6,3,1,2022,0,8,2,2,2,3,17.363128491620113,574.5027932960894,33.087516087516086,0.8041666666666667,0.033231791747438386,0.00016884290026469438,3853.243066082525,0.341793401319736,0.4713617276544691,0,0,932
99,2892,99164,0.48,0.216,15.564,661,10,3,1,2022,0,9,4,2,2,3,29.21212121212121,1001.6565656565657,34.28907330567082,0.45,0.030840400925212026,0.00029458393380784573,3050.6742757920156,0.3408404580152672,0.4721145038167939,0,0,867
256,2992,100864,0.384,0.20879999999999999,15.931999999999999,684,11,3,1,2022,0,0,1,2,2,3,11.6875,394.0,33.711229946524064,0.54375,0.024102435350238517,0.00011587384993654822,4259.048450065856,0.33098196027352655,0.46991077824812766,0,0,897
137,3490,109330,0.432,0.2424,18.5852,235,3,3,1,2022,0,1,4,3,3,3,25.474452554744527,798.029197080292,31.326647564469916,0.5611111111111111,0.02324430191765491,0.00023300514547465952,3739.0543735836745,0.3408404580152672,0.4721145038167939,1,0,1047
311,3200,104400,0.504,0.408,17.608,292,4,3,1,2022,0,2,0,0,0,3,10.289389067524116,335.6913183279743,32.625,0.8095238095238094,0.02862335302135393,9.855736654716586e-05,4701.144733991785,0.33365267175572516,0.4695648854961832,1,0,960
304,3240,105080,0.432,0.48,17.904,645,10,3,1,2022,0,3,0,0,0,3,10.657894736842104,345.6578947368421,32.4320987654321,1.1111111111111112,0.024128686327077747,0.00010142648207881715,4695.114839641164,0.33365267175572516,0.4695648854961832,0,0,972
287,2300,89100,0.312,0.4536,13.036,349,5,4,1,2022,1,4,0,4,4,3,8.013937282229966,310.45296167247386,38.73913043478261,1.4538461538461538,0.023933722000613687,8.994317937407369e-05,3888.921220895214,0.33365267175572516,0.4695648854961832,0,0,690
361,3450,108650,0.624,0.38880000000000003,18.994799999999998,1015,16,3,1,2022,0,5,3,3,3,3,9.556786703601109,300.9695290858726,31.492753623188406,0.6230769230769231,0.032851096089456064,8.795938061298765e-05,5133.954426967094,0.33921854583772393,0.46746469968387777,0,0,1035
141,5200,138400,0.432,0.2808,27.2576,1111,18,3,1,2022,0,6,4,3,3,3,36.87943262411348,981.5602836879433,26.615384615384617,0.65,0.015848790795961493,0.000266469888902554,4664.296846651709,0.3408404580152672,0.4721145038167939,0,0,1560
368,4876,132892,0.504,0.2928,25.688000000000002,1158,19,3,1,2022,0,7,3,3,3,3,13.25,361.1195652173913,27.25430680885972,0.580952380952381,0.01962005605730302,9.970502362820937e-05,6201.119744479715,0.33921854583772393,0.46746469968387777,0,0,1462
98,4390,124630,0.576,0.4632,23.7428,1438,23,3,1,2022,0,8,4,3,3,3,44.795918367346935,1271.734693877551,28.389521640091115,0.8041666666666667,0.024259986185285645,0.0003594312634786724,3770.8367441038986,0.3408404580152672,0.4721145038167939,1,0,1317
113,4670,129390,0.48,0.216,24.453999999999997,173,2,4,1,2022,1,9,4,3,3,3,41.32743362831859,1145.0442477876106,27.70663811563169,0.45,0.019628690602764374,0.00031940206838487197,4087.2576212551967,0.3408404580152672,0.4721145038167939,1,0,1401
337,5120,137040,0.384,0.20879999999999999,26.572,218,3,4,1,2022,1,0,3,3,3,3,15.192878338278932,406.64688427299706,26.765625,0.54375,0.014451302122535,0.00011086455296467405,6183.70938064242,0.33921854583772393,0.46746469968387777,1,0,1536
104,4780,131260,0.432,0.2424,25.0352,1369,22,3,1,2022,0,1,4,3,3,3,45.96153846153846,1262.1153846153845,27.460251046025103,0.5611111111111111,0.017255703968811913,0.00035015647159483817,4025.9144806906197,0.3408404580152672,0.4721145038167939,1,0,1434
257,4870,132790,0.504,0.408,25.958000000000002,1368,22,3,1,2022,0,2,1,3,3,3,18.94941634241245,516.692607003891,27.26694045174538,0.8095238095238094,0.01941597965944988,0.00014270213376317833,5498.055909044281,0.33098196027352655,0.46991077824812766,1,0,1461
202,5020,135340,0.432,0.48,26.804,297,4,4,1,2022,1,3,2,3,3,3,24.85148514851485,670.0,26.9601593625498,1.1111111111111112,0.016116997463065216,0.00018362261820980384,5158.147453078741,0.341793401319736,0.4713617276544691,1,0,1506
328,2678,95526,0.312,0.4536,14.926,1146,18,4,1,2022,1,4,0,4,4,3,8.164634146341463,291.2378048780488,35.670649738610905,1.4538461538461538,0.02090312206887311,8.547028187447882e-05,4377.928553244162,0.33365267175572516,0.4695648854961832,0,0,803
358,3456,108752,0.624,0.38880000000000003,19.0248,728,11,4,1,2022,1,5,3,3,3,3,9.653631284916202,303.77653631284915,31.46759259259259,0.6230769230769231,0.032799293553677306,8.876739080583531e-05,5124.262128103521,0.33921854583772393,0.46746469968387777,0,0,1036
180,2876,98892,0.432,0.2808,15.6376,1317,21,4,1,2022,1,6,2,1,1,3,15.977777777777778,549.4,34.38525730180807,0.65,0.027625722617281422,0.00016156795067121484,3713.135937585877,0.341793401319736,0.4713617276544691,1,0,862
339,2980,100660,0.504,0.2928,16.208000000000002,1278,21,4,1,2022,1,7,3,2,2,3,8.7905604719764,296.9321533923304,33.77852348993289,0.580952380952381,0.03109575518262586,8.732923178995034e-05,4667.57132144258,0.33921854583772393,0.46746469968387777,1,0,894
200,3108,102836,0.576,0.4632,17.3328,2,23,4,1,2022,1,8,2,2,2,3,15.54,514.18,33.087516087516086,0.8041666666666667,0.033231791747438386,0.00015111439573690146,3998.3922205145323,0.341793401319736,0.4713617276544691,1,0,932
189,2892,99164,0.48,0.216,15.564,219,3,5,1,2022,2,9,2,2,2,3,15.301587301587302,524.6772486772487,34.28907330567082,0.45,0.030840400925212026,0.00015430587008982396,3784.4668886365807,0.341793401319736,0.4713617276544691,1,0,867
113,2870,98790,0.384,0.20879999999999999,15.322,387,6,5,1,2022,2,0,4,1,1,3,25.398230088495577,874.2477876106195,34.42160278745644,0.54375,0.025062002349562722,0.00025709312773049476,3176.0776270504393,0.3408404580152672,0.4721145038167939,0,0,861
221,2980,100660,0.432,0.2424,16.0352,4,23,4,1,2022,1,1,1,2,2,3,13.484162895927602,455.47511312217193,33.77852348993289,0.5611111111111111,0.026940730393135104,0.00013395750939725415,4047.2045496143764,0.33098196027352655,0.46991077824812766,1,0,894
302,3200,104400,0.504,0.408,17.608,56,0,5,1,2022,2,2,0,0,0,3,10.596026490066226,345.6953642384106,32.625,0.8095238095238094,0.02862335302135393,0.00010149450660982974,4655.351452515216,0.33365267175572516,0.4695648854961832,1,0,960
319,3240,105080,0.432,0.48,17.904,484,7,5,1,2022,2,3,0,0,0,3,10.156739811912226,329.40438871473356,32.4320987654321,1.1111111111111112,0.024128686327077747,9.665721176163139e-05,4771.100730903876,0.33365267175572516,0.4695648854961832,0,0,972
380,2890,99130,0.312,0.4536,15.985999999999999,620,9,5,1,2022,2,4,3,1,1,3,7.605263157894737,260.86842105263156,34.30103806228374,1.4538461538461538,0.019517077442762418,7.672009641778207e-05,4774.876924543559,0.33921854583772393,0.46746469968387777,0,0,867
357,2756,96852,0.624,0.38880000000000003,15.524799999999999,448,7,5,1,2022,2,5,3,4,4,3,7.719887955182073,271.29411764705884,35.1422351233672,0.6230769230769231,0.04019375450891477,7.970809023233463e-05,4567.571357497067,0.33921854583772393,0.46746469968387777,0,0,826
281,2580,93860,0.432,0.2808,14.1576,834,13,5,1,2022,2,6,0,4,4,3,9.181494661921707,334.02135231316726,36.37984496124031,0.65,0.0305136463807425,9.782116622546034e-05,4082.5877230678334,0.33365267175572516,0.4695648854961832,0,0,774
200,3150,103550,0.504,0.2928,17.058,829,13,5,1,2022,2,7,2,0,0,3,15.75,517.75,32.87301587301587,0.580952380952381,0.029546253957087584,0.0001521004345726702,4025.5962749707933,0.341793401319736,0.4713617276544691,0,0,945
210,2836,98212,0.576,0.4632,15.972800000000001,1060,17,5,1,2022,2,8,1,1,1,3,13.504761904761905,467.67619047619047,34.63046544428773,0.8041666666666667,0.03606130421716918,0.00013750623044802982,3881.7720215603094,0.33098196027352655,0.46991077824812766,0,0,850
194,3300,106100,0.576,0.4632,18.2928,1192,19,5,1,2022,2,9,2,3,3,3,17.010309278350515,546.9072164948453,32.15151515151515,0.8041666666666667,0.03148779847808974,0.0001603233673737089,4080.1583464111427,0.341793401319736,0.4713617276544691,0,0,990
369,5200,138400,0.312,0.4536,27.536,1335,21,5,1,2022,2,0,3,3,3,3,14.092140921409214,375.06775067750675,26.615384615384617,1.4538461538461538,0.011330621731551423,0.00010182182746682958,6427.6950847749185,0.33921854583772393,0.46746469968387777,1,0,1560
275,4876,132892,0.624,0.38880000000000003,26.1248,1005,16,5,1,2022,2,1,1,3,3,3,17.73090909090909,483.24363636363637,27.25430680885972,0.6230769230769231,0.023885350318471336,0.00013342344980065836,5627.278500667067,0.33098196027352655,0.46991077824812766,0,0,1462
348,4390,124630,0.432,0.2808,23.2076,1115,18,5,1,2022,2,2,3,3,3,3,12.614942528735632,358.132183908046,28.389521640091115,0.65,0.01861459177166101,0.00010121914891066061,5752.92598252051,0.33921854583772393,0.46746469968387777,0,0,1317
284,4670,129390,0.504,0.2928,24.658,125,1,6,1,2022,3,3,0,3,3,3,16.443661971830984,455.59859154929575,27.70663811563169,0.580952380952381,0.02043961391840376,0.00012708603425172724,5557.062882060743,0.33365267175572516,0.4695648854961832,1,0,1401
119,5120,137040,0.576,0.4632,27.3928,166,2,6,1,2022,3,4,4,3,3,3,43.02521008403362,1151.5966386554621,26.765625,0.8041666666666667,0.02102742326450746,0.000313960960916766,4370.7378346313635,0.3408404580152672,0.4721145038167939,1,0,1536
180,4780,131260,0.48,0.216,25.003999999999998,1380,22,5,1,2022,2,5,2,3,3,3,26.555555555555557,729.2222222222222,27.460251046025103,0.45,0.01919692849144137,0.00020231262803257317,4833.67671387875,0.341793401319736,0.4713617276544691,1,0,1434
190,4870,132790,0.384,0.20879999999999999,25.322,255,4,6,1,2022,3,6,2,3,3,3,25.63157894736842,698.8947368421053,27.26694045174538,0.54375,0.015164678935313168,0.0001930234125112465,4971.445060192624,0.341793401319736,0.4713617276544691,1,0,1461
170,5020,135340,0.432,0.2424,26.2352,424,6,6,1,2022,3,7,4,3,3,3,29.529411764705884,796.1176470588235,26.9601593625498,0.5611111111111111,0.01646642678538757,0.00021818687575517868,4869.96982442473,0.3408404580152672,0.4721145038167939,0,0,1506
300,3108,102836,0.504,0.408,17.148,590,9,6,1,2022,3,8,0,2,2,3,10.36,342.7866666666667,33.087516087516086,0.8095238095238094,0.02939118264520644,0.00010074293049126765,4577.016522137427,0.33365267175572516,0.4695648854961832,0,0,932
379,2892,99164,0.432,0.48,16.164,861,13,6,1,2022,3,9,3,2,2,3,7.630606860158311,261.64643799472293,34.28907330567082,1.1111111111111112,0.026726057906458794,7.69493652954531e-05,4772.330492946807,0.33921854583772393,0.46746469968387777,0,0,867
210,2870,98790,0.312,0.4536,15.886,122,1,7,1,2022,4,0,1,1,1,3,13.666666666666666,470.42857142857144,34.42160278745644,1.4538461538461538,0.019639934533551555,0.00013834058777879003,3904.8533266438894,0.33098196027352655,0.46991077824812766,1,0,861
230,2876,98892,0.624,0.38880000000000003,16.1248,1146,18,6,1,2022,3,1,1,1,1,3,12.504347826086956,429.96521739130435,34.38525730180807,0.6230769230769231,0.03869815439571343,0.00012644448313399423,4029.266187016604,0.33098196027352655,0.46991077824812766,0,0,862
127,3200,104400,0.432,0.2808,17.2576,1078,17,6,1,2022,3,2,4,0,0,3,25.19685039370079,822.0472440944882,32.625,0.65,0.02503244947153718,0.00024134914170211483,3487.79860240511,0.3408404580152672,0.4721145038167939,0,0,960
295,3240,105080,0.504,0.2928,17.508,183,2,7,1,2022,4,3,0,0,0,3,10.983050847457626,356.20338983050846,32.4320987654321,0.580952380952381,0.028786840301576425,0.00010452084932867936,4648.316560232736,0.33365267175572516,0.4695648854961832,1,0,972
190,2890,99130,0.576,0.4632,16.2428,389,6,7,1,2022,4,4,2,1,1,3,15.210526315789474,521.7368421052631,34.30103806228374,0.8041666666666667,0.035461866180707756,0.00015344019283556413,3789.8223265195634,0.341793401319736,0.4713617276544691,0,0,867
190,5200,138400,0.48,0.216,27.104,19,0,7,1,2022,4,5,2,3,3,3,27.36842105263158,728.421052631579,26.615384615384617,0.45,0.01770956316410862,0.00019774870702768483,5151.863466155273,0.341793401319736,0.4713617276544691,1,0,1560
189,4876,132892,0.384,0.20879999999999999,25.352,349,5,7,1,2022,4,6,2,3,3,3,25.798941798941797,703.1322751322751,27.25430680885972,0.54375,0.01514673398548438,0.0001941346491808521,4966.015981789266,0.341793401319736,0.4713617276544691,0,0,1462
210,4390,124630,0.432,0.2424,23.0852,571,9,7,1,2022,4,7,1,3,3,3,20.904761904761905,593.4761904761905,28.389521640091115,0.5611111111111111,0.018713288167310656,0.00016773458962338045,4861.483357263332,0.33098196027352655,0.46991077824812766,0,0,1317
264,4670,129390,0.312,0.4536,24.886000000000003,189,2,7,1,2022,4,8,1,3,3,3,17.689393939393938,490.1136363636364,27.70663811563169,1.4538461538461538,0.012537169492887567,0.0001367137641192823,5423.427514825562,0.33098196027352655,0.46991077824812766,1,0,1401
281,5120,137040,0.624,0.38880000000000003,27.3448,415,6,7,1,2022,4,9,0,3,3,3,18.22064056939502,487.6868327402135,26.765625,0.6230769230769231,0.02281969515227758,0.00013295855640247387,5820.244247611389,0.33365267175572516,0.4695648854961832,0,0,1536
211,4780,131260,0.432,0.2808,25.1576,1091,17,7,1,2022,4,0,1,3,3,3,22.654028436018958,622.085308056872,27.460251046025103,0.65,0.01717174929246033,0.00017258897178134205,5096.604311411374,0.33098196027352655,0.46991077824812766,0,0,1434
128,4870,132790,0.504,0.2928,25.658,679,11,7,1,2022,4,1,4,3,3,3,38.046875,1037.421875,27.26694045174538,0.580952380952381,0.019642996336425286,0.0002865191279463815,4358.142574980463,0.3408404580152672,0.4721145038167939,0,0,1461
247,5020,135340,0.576,0.4632,26.8928,712,11,7,1,2022,4,2,1,3,3,3,20.323886639676115,547.9352226720648,26.9601593625498,0.8041666666666667,0.021418372203712514,0.00015016910477077075,5515.805550380748,0.33098196027352655,0.46991077824812766,0,0,1506
179,2450,91650,0.48,0.216,13.354000000000001,1246,20,7,1,2022,4,3,2,4,4,3,13.687150837988828,512.0111731843575,37.40816326530612,0.45,0.035944286356147964,0.0001493415257827477,3425.4465469950837,0.341793401319736,0.4713617276544691,1,0,735
99,3240,105080,0.384,0.20879999999999999,17.172,1355,22,7,1,2022,4,4,4,0,0,3,32.72727272727273,1061.4141414141413,32.4320987654321,0.54375,0.02236198462613557,0.0003114510156763678,3230.22982705855,0.3408404580152672,0.4721145038167939,1,0,972
256,3456,108752,0.432,0.2424,18.4152,222,3,8,1,2022,5,5,1,3,3,3,13.5,424.8125,31.46759259259259,0.5611111111111111,0.023458881793301186,0.00012413564808003532,4582.3013908849125,0.33098196027352655,0.46991077824812766,1,1,1036
137,2876,98892,0.504,0.408,15.988000000000001,468,7,8,1,2022,5,6,4,1,1,3,20.99270072992701,721.8394160583941,34.38525730180807,0.8095238095238094,0.03152364273204904,0.0002122790592760487,3390.186080056424,0.3408404580152672,0.4721145038167939,0,1,862
311,2980,100660,0.432,0.48,16.604,549,8,8,1,2022,5,7,0,2,2,3,9.581993569131832,323.66559485530547,33.77852348993289,1.1111111111111112,0.026017827029631416,9.519167066492979e-05,4535.354022510444,0.33365267175572516,0.4695648854961832,0,1,894
304,5200,138400,0.312,0.4536,27.536,260,3,8,1,2022,5,8,0,3,3,3,17.105263157894736,455.2631578947368,26.615384615384617,1.4538461538461538,0.011330621731551423,0.000123592941892303,6025.656063955535,0.33365267175572516,0.4695648854961832,1,1,1560
287,4876,132892,0.624,0.38880000000000003,26.1248,635,10,8,1,2022,5,9,0,3,3,3,16.989547038327526,463.0383275261324,27.25430680885972,0.6230769230769231,0.023885350318471336,0.00012784476897275627,5707.96730814064,0.33365267175572516,0.4695648854961832,0,1,1462
361,4390,124630,0.432,0.2808,23.2076,1179,19,8,1,2022,5,0,3,3,3,3,12.160664819944598,345.2354570637119,28.389521640091115,0.65,0.01861459177166101,9.757413800806065e-05,5823.688078005719,0.33921854583772393,0.46746469968387777,0,1,1317
113,4670,129390,0.504,0.2928,24.658,793,12,8,1,2022,5,4,4,3,3,3,41.32743362831859,1145.0442477876106,27.70663811563169,0.580952380952381,0.02043961391840376,0.00031940206838487197,4087.2576212551967,0.3408404580152672,0.4721145038167939,0,1,1401
337,5120,137040,0.576,0.4632,27.3928,899,14,8,1,2022,5,5,3,3,3,3,15.192878338278932,406.64688427299706,26.765625,0.8041666666666667,0.02102742326450746,0.00011086455296467405,6183.70938064242,0.33921854583772393,0.46746469968387777,0,1,1536
104,4780,131260,0.48,0.216,25.003999999999998,618,10,8,1,2022,5,6,4,3,3,3,45.96153846153846,1262.1153846153845,27.460251046025103,0.45,0.01919692849144137,0.00035015647159483817,4025.9144806906197,0.3408404580152672,0.4721145038167939,0,1,1434
257,4870,132790,0.384,0.20879999999999999,25.322,964,15,8,1,2022,5,7,1,3,3,3,18.94941634241245,516.692607003891,27.26694045174538,0.54375,0.015164678935313168,0.00014270213376317833,5498.055909044281,0.33098196027352655,0.46991077824812766,0,1,1461
202,5020,135340,0.432,0.2424,26.2352,1346,22,8,1,2022,5,8,2,3,3,3,24.85148514851485,670.0,26.9601593625498,0.5611111111111111,0.01646642678538757,0.00018362261820980384,5158.147453078741,0.341793401319736,0.4713617276544691,1,1,1506
328,2890,99130,0.312,0.4536,15.985999999999999,1433,23,8,1,2022,5,9,0,1,1,3,8.810975609756097,302.2256097560976,34.30103806228374,1.4538461538461538,0.019517077442762418,8.888303853279631e-05,4546.30879796189,0.33365267175572516,0.4695648854961832,1,1,867
358,5200,138400,0.624,0.38880000000000003,27.744799999999998,124,1,9,1,2022,6,0,3,3,3,3,14.525139664804469,386.5921787709497,26.615384615384617,0.6230769230769231,0.022490700960179928,0.00010495043110407853,6363.1791918941535,0.33921854583772393,0.46746469968387777,1,1,1560
180,4876,132892,0.432,0.2808,25.6376,480,7,9,1,2022,6,1,2,3,3,3,27.08888888888889,738.2888888888889,27.25430680885972,0.65,0.01685025119355946,0.00020384138163989472,4885.904941012963,0.341793401319736,0.4713617276544691,0,1,1462
339,4390,124630,0.504,0.2928,23.258,768,12,9,1,2022,6,2,3,3,3,3,12.949852507374631,367.6401179941003,28.389521640091115,0.580952380952381,0.021669963023475795,0.00010390638295253656,5702.898006179752,0.33921854583772393,0.46746469968387777,0,1,1317
200,4670,129390,0.576,0.4632,25.1428,1170,19,9,1,2022,6,3,2,3,3,3,23.35,646.95,27.70663811563169,0.8041666666666667,0.022909142975324943,0.00018046216863745266,4944.046305899491,0.341793401319736,0.4713617276544691,0,1,1401
189,5120,137040,0.48,0.216,26.703999999999997,845,13,9,1,2022,6,4,2,3,3,3,27.08994708994709,725.0793650793651,26.765625,0.45,0.017974835230677052,0.000197679123540186,5099.485622863044,0.341793401319736,0.4713617276544691,0,1,1536
113,4780,131260,0.384,0.20879999999999999,24.872,1094,18,9,1,2022,6,5,4,3,3,3,42.30088495575221,1161.5929203539822,27.460251046025103,0.54375,0.015439047925377935,0.00032226790306073605,4138.848980274384,0.3408404580152672,0.4721145038167939,0,1,1434
221,4870,132790,0.432,0.2424,25.4852,696,11,9,1,2022,6,6,1,3,3,3,22.036199095022624,600.8597285067873,27.26694045174538,0.5611111111111111,0.016951014706574796,0.00016594773021328884,5228.320495540408,0.33098196027352655,0.46991077824812766,0,1,1461
